id,slug,titel
001,manen-solen-och-stjarnorna,"Månen, solen och stjärnorna"
003,kemibus-med-draken-berta,Kemibus med draken Berta
005,de-globala-malen-vagen-till-en-hallbar-framtid,De globala målen - vägen till en hållbar framtid
006,utblick-i-universum,Utblick i universum
007,traffa-skelettet-benny,Träffa skelettet Benny
008,digestiva-och-matens-vag-genom-kroppen,Digestiva och matens väg genom kroppen
010,nollan-kommer-pa-besok,Nollan kommer på besök
011,kemiexperiment-med-draken-berta,Kemiexperiment med draken Berta
012,kemiutmaningen,Kemiutmaningen
013,historien-om-metern,Historien om metern
014,mobilt-utomhusprogram-svampar-och-nedbrytning,MOBILT Utomhusprogram - Svampar och nedbrytning
016,mobilt-utomhusprogram-de-fem-maktiga,MOBILT Utomhusprogram - De fem mäktiga
017,mobilt-utomhusprogram-matematik-i-rorelse,MOBILT Utomhusprogram - Matematik i rörelse
020,nyfiken-pa-rymden,Nyfiken på rymden
021,var-fascinerande-kropp,Vår fascinerande kropp
022,elektriska-kretsar-och-magnetiska-falt,Elektriska kretsar och magnetiska fält
027,hjalp-al-khwarizmi-losa-problem,Hjälp al-Khwarizmi lösa problem
032,upptack-matematikens-magi,Upptäck matematikens magi
033,digitalt-escape-room-kistans-mysterium-ak-4-6,DIGITALT Escape room - Kistans mysterium åk 4-6
054,det-brinner,Det brinner!
079,mobilt-kolla-jag-kan-programmera,"MOBILT Kolla, jag kan programmera!"
092,fru-eks-atervinningsaventyr,Fru Eks återvinningsäventyr
093,tundas-fysikcirkus,Tundas fysikcirkus
102,mobilt-utomhusprogram-biologisk-mangfald-och-skogsbruk,MOBILT Utomhusprogram Biologisk mångfald och skogsbruk
110,digitalt-bertas-matematikkalas,DIGITALT Bertas matematikkalas
116,ekens-escape-box-jakten-pa-mangfald,Ekens escape box - jakten på mångfald
118,mobilt-designa-med-laser,MOBILT Designa med laser!
121,mobilt-nar-livet-formas-av-miljon,MOBILT När livet formas av miljön
122,bygg-och-programmera-med-lego,Bygg och programmera med LEGO®
123,lego-bygg-och-programmera-robotar,LEGO® - bygg och programmera robotar!
124,mobilt-varfor-piper-det,MOBILT Varför piper det?
130,mobilt-upplev-stjarnhimlen-i-navets-stjarntalt,MOBILT Upplev stjärnhimlen i Navets stjärntält
131,upptack-ljusets-varld,Upptäck ljusets värld
132,konstruera-och-programmera-tekniska-losningar-med-lego,Konstruera och programmera tekniska lösningar med LEGO®
134,krimlabb,Krimlabb
138,pa-rymdaventyr-med-tant-sol,På rymdäventyr med Tant Sol
140,mobilt-utomhusprogram-djur-och-vaxter-i-skogen,MOBILT Utomhusprogram - Djur och växter i skogen
