expo_id;titel;malgrupp;max_deltagare;programlangd_min;total_besokstid_min;cirka tid;kommentar
1;Månen, solen och stjärnorna;F-3;30;75;90;nej;15 min fri tid
3;Kemibus med draken Berta;från 4 år, Anp gr / anp gy;16;60;90;nej;30 min fri tid
5;De Globala målen - vägen till en hållbar framtid;Åk 7-9 + gy;30;75;75;nej;
6;Utblick i universum;7-9 + gy;30;60;60;nej;
7;Träffa skelettet Benny;F-1;30;60;75;nej;15 min fri tid
8;Digestiva och matens väg genom kroppen;2-3;30;60;75;nej;15 min fri tid
10;Nollan kommer på besök;F-1;30;75;90;nej;15 min fri tid
11;Kemiexperiment med draken Berta;F-3;24;75;90;nej;15 min fri tid
12;Kemiutmaningen;4-7;24;90;90;nej;
13;Historien om metern;2-3;30;75;90;nej;15 min fri tid
14;MOBILT Utomhusprogram - Svampar och nedbrytning;F-6;100;60;60;ja;
16;MOBILT Utomhusprogram - De fem mäktiga;1-6;100;60;60;ja;
17;MOBILT Utomhusprogram Matematik i rörelse: Lekar och utmaningar ;F-3;100;60;60;ja;
20;Nyfiken på rymden;4-6;30;90;90;nej;
21;Vår fascinerande kropp;4-6;30;90;90;nej;
22;Elektriska kretsar och magnetiska fält;4-6;30;90;90;nej;
27;Hjälp Al-Khwarizmi att lösa problem;4-6;30;90;90;nej;
32;Upptäck matematikens magi;7-9 + gy;30;90;90;nej;
33;Kistans mysterium - Digitalt;4-6;;75;75;nej;
54;Det brinner!;5-7;24;90;90;nej;
79;MOBILT Kolla, jag kan programmera!;4-6;100;60;60;nej;
92;Fru Eks återvinningsäventyr;från 4 år, Anp gr / anp gy;20;60;60;nej;
93;Tundas fysikcirkus;från 3 år, Anp gr / anp gy;16;60;60;nej;
102;Biologisk mångfald och skogsbruk;Gy;100;90;90;nej;
110;DIGITALT Bertas matematikkalas;från 3 år, Anp gr / anp gy;;30;30;nej;
116;MOBILT Ekens escape box - jakten på mångfald;4-7;100;60;60;nej;
118;MOBILT Designa med laser!;åk 7-9;100;90;90;ja;
121;MOBILT När livet formas av miljön - djurs och växters anpassningar;Åk 2-6;100;60;60;ja;
122;Bygg och programmera med LEGO® ;Åk 1-3;30;75;90;nej;15 min fri tid
123;LEGO® - bygg och programmera robotar;Åk 4-6;25;90;90;nej;
124;MOBILT Varför piper det?;7-9;100;60;60;nej;
130;MOBILT Stjärntältet NAVET 30 år;F-3;100;40;40;nej;
131;Ljus - Navet 30 år;4-6;30;90;90;nej;
132;Konstruera och programmera tekniska lösningar med LEGO®;åk 7-9;20;75;75;nej;
134;Krimlabb Navet 30 år;Åk 9 + gy;24;60;60;nej;
138;På rymdäventyr med Tant Sol;de som ska börja F-klass;20;45;60;nej;15 min fri tid
140;MOBILT Utomhusprogram - Djur och växter i skogen;F-6;100;60;60;ja;
